value,primary_high_level_reason,events,churn_m1,metricname
3,all,25591,617,seconds_per_page
4,all,19251,475,seconds_per_page
5,all,15149,373,seconds_per_page
6,all,12297,297,seconds_per_page
7,all,9841,225,seconds_per_page
8,all,8307,192,seconds_per_page
9,all,7187,167,seconds_per_page
10,all,6096,159,seconds_per_page
11,all,5309,130,seconds_per_page
12,all,4653,120,seconds_per_page
13,all,4088,91,seconds_per_page
14,all,3704,77,seconds_per_page
15,all,3206,78,seconds_per_page
16,all,2962,76,seconds_per_page
17,all,2677,86,seconds_per_page
18,all,2511,60,seconds_per_page
19,all,2248,63,seconds_per_page
20,all,2103,54,seconds_per_page
21,all,1960,45,seconds_per_page
22,all,1786,35,seconds_per_page
23,all,1660,33,seconds_per_page
24,all,1609,42,seconds_per_page
25,all,1471,39,seconds_per_page
26,all,1436,35,seconds_per_page
27,all,1269,41,seconds_per_page
28,all,1267,35,seconds_per_page
29,all,1187,32,seconds_per_page
30,all,1143,30,seconds_per_page
31,all,1088,24,seconds_per_page
32,all,1018,33,seconds_per_page
33,all,985,29,seconds_per_page
34,all,871,18,seconds_per_page
35,all,890,21,seconds_per_page
36,all,889,27,seconds_per_page
37,all,772,22,seconds_per_page
38,all,736,20,seconds_per_page
39,all,775,24,seconds_per_page
40,all,688,17,seconds_per_page
41,all,735,18,seconds_per_page
42,all,667,15,seconds_per_page
43,all,646,21,seconds_per_page
44,all,642,21,seconds_per_page
45,all,607,11,seconds_per_page
46,all,552,13,seconds_per_page
47,all,561,18,seconds_per_page
48,all,545,16,seconds_per_page
49,all,525,18,seconds_per_page
50,all,491,12,seconds_per_page
